comment,play,title,aid,length
4504,1936648,华农兄弟：养了快三个月的猪跟鸡，抓来称一下，看有多重,35369244,03:53
7194,4695384,华农兄弟：这只竹鼠好像抽筋了，可能会瘸掉，不如拿去河边烤了,35072890,04:24
6682,1968940,华农兄弟：亲戚家办酒席，想买竹鼠，刚好准备把这5只卖掉,34737154,02:51
3867,1378447,华农兄弟：天气变冷了，给竹鼠加点稻草，让它们做窝,34641663,03:07
8115,2778905,华农兄弟：上山摘野果，一摘100多斤，摘得中午饭都没吃,34248819,08:00
4532,2972035,华农兄弟：去河里捞了几条鱼，放点配料烤一烤，很香哦,62700796,08:59
9032,3453106,华农兄弟：挖了点五指毛桃，拿去河边炖鸡，结果全都淋成落汤鸡,62530824,12:04
5840,2174718,华农兄弟：母鸡孵出3只小鸡，我搞点米来喂一下它们,62240938,03:02
3783,2204780,华农兄弟：很多粉丝问竹鼠小粉去哪里了？带大家去看一下它,62120539,03:19
7982,2802636,华农兄弟：去砍点象草，顺便摘一个兄弟家的西瓜来尝一下,61373462,05:14
6786,3222959,华农兄弟：这个竹鼠光吃不长肉，这样下去不行的，拿去河边烤了,61000067,06:58
5370,2204199,华农兄弟：应粉丝要求拍一期幕后花絮，刚好新加坡电视台来采访,60889308,02:10
9248,5297090,华农兄弟：这个竹鼠中暑了，抢救后还是不行，只好拿去河边烤了,59877478,07:46
438,276278,华农兄弟：怎么预防竹鼠拉肚子？听听养了多年竹鼠的农村小伙怎么说,30767671,03:14
2377,3865522,华农兄弟：给竹鼠喂完竹子后，捉起一只肥肥的白竹鼠玩了一下,30766900,02:44
1100,1080899,华农兄弟：养得这群竹鼠中，就这只肚子最大，跟“球”一样,30740725,02:35
2359,2977059,华农兄弟：去看下兄弟家散养的香猪，捉来做烤乳猪，应该很好吃,30715371,04:00
753,745580,华农兄弟：竹鼠不仅吃竹子，还会吃木头，吃起木头来唰唰个不停,30658448,02:28
5104,6064474,华农兄弟：这只鸡淋了雨，可能会生病，只好把它烤了,30639265,03:22
1623,1518607,华农兄弟：看了一下兄弟家养的竹鼠，肥的像小猪一样，红烧应该好吃,30576043,02:54
704,458136,华农兄弟：开摩托车上山拉竹子，4根竹子拉着就跑，省时又省力,30565002,03:01
2476,1756974,华农兄弟：捡了点这种石头，涂点牙膏刷一刷，晶莹剔透,31247805,01:14
1431,1434532,华农兄弟：去种象草，2只小肥狗一路围观，又不帮忙,31247978,02:37
1679,1828771,华农兄弟：天气热，给狗狗洗一下澡，刚洗完它们就跑去河边吃起草来,31243374,01:38
2442,1549857,华农兄弟：摘一点艾草来做糍粑，吃起来外酥里嫩，有一种淡淡的香味,31238086,03:43
1634,1108014,华农兄弟：刚下完雨，兄弟俩就去山上砍竹子，不然竹鼠就断粮了,31228948,03:14
3257,1265607,华农兄弟：带大家看下我们租的场地，准备扩大竹鼠养殖规模,31178471,04:18
2985,4199154,华农兄弟：这池子里的鱼太多了，不要那么多，先捞一条油炸,31170093,02:45
1945,1344749,华农兄弟：天气热，竹鼠不怎么喜欢吃竹子，小伙去田里砍了些象草回来喂它们,31156975,05:01
1359,1276055,华农兄弟：最近吃竹鼠上火了，摘一点木槿花来吃，降降火,30316810,03:01
949,833161,华农兄弟：给竹鼠喂竹子，发现有1只挖了个洞“越狱”跑了,30304934,02:01
937,1394708,华农兄弟：去池塘放水抓鱼，抓到不少，有几条蛇头鱼,30308707,04:12
1541,2346586,华农兄弟：竹鼠房跑进来1条蜈蚣，太吓人了，只好拿去泡酒,30309339,02:02
931,1356980,华农兄弟：这群小狗狗刚学会走路，就到处乱跑，小伙都有点招架不住了,30306331,01:24
1088,2453458,华农兄弟：在山沟里捕获不少螃蟹，煮了一半，烤了一半，味道还可以,30264449,03:43
